"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"1"	"Italy"	0.67842	0.70994	-5.33736	0.130506	0.21921436	0.0002734888	0.147766	0.50372	117.23386	178361.34
"2"	"Italy70s"	0.478092592592593	0.535055555555556	-10.4200185185185	0.058787037037037	0.386395555555556	0.00647245333333334	0.213192592592593	0.513637037037037	116.969407407407	247258.981481481
"3"	"Italy80s"	0.586492957746479	0.57887323943662	-10.8825070422535	0.0576788732394366	0.357015915492958	0.00779864492957746	0.213308450704225	0.551957746478873	122.415901408451	268113.690140845
"4"	"Italy90s"	0.612962962962963	0.665888888888889	-8.14207407407407	0.0459314814814815	0.231389796296296	0.002461335	0.207961111111111	0.57437037037037	119.917203703704	267366
"5"	"Italy2000s"	0.578605726872247	0.712656387665198	-5.90467841409692	0.0511522026431718	0.210524206167401	0.00274701925110132	0.175931718061674	0.513787224669604	123.585308370044	240749.570484581
"6"	"Italy2010s"	0.557661016949152	0.648313559322034	-6.39414406779661	0.0509127118644068	0.295152338983051	0.000280749406779661	0.156372881355932	0.452126271186441	120.707788135593	240593.822033898
"7"	"Global"	0.6304	0.63068	-6.5222	0.0794	0.25329656	0.0093169076	0.149234	0.472976	128.27268	212082.86
"8"	"Argentina"	0.70422	0.67534	-5.33022	0.082918	0.22057	0.0064213234	0.196426	0.61534	119.07182	186718.64
"9"	"Australia"	0.60572	0.57284	-7.21066	0.066858	0.29552856	0.0018078748	0.13083	0.4368	126.636	207847.12
"10"	"Brazil"	0.69098	0.69136	-4.4215	0.162236	0.38709	0.0002904554	0.300148	0.64356	123.59372	193402.42
"11"	"Canada"	0.6257	0.59358	-6.93422	0.070484	0.27262616	0.0003610204	0.13661	0.44352	127.65092	215810
"12"	"France"	0.69856	0.64998	-6.4792	0.126896	0.28935016	0.0006672168	0.15782	0.57153	120.52968	183595.22
"13"	"Germany"	0.72684	0.68432	-6.35528	0.100478	0.15656576	0.0141833178	0.14575	0.530058	127.1078	167204.42
"14"	"Greece"	0.69742	0.68702	-7.23864	0.162012	0.29318516	0.0015958858	0.2053	0.58624	119.09406	186424.42
"15"	"Japan"	0.61094	0.77738	-4.45402	0.07636	0.105052406	0.0018481168	0.170406	0.63624	129.4802	226383.86
"16"	"UnitedKingdom"	0.62462	0.62906	-6.56038	0.067484	0.23973216	0.0073196478	0.14883	0.476636	125.02124	206893.78
"17"	"UnitedStates"	0.6161	0.57094	-7.52838	0.080198	0.28919816	0.0003607172	0.138752	0.42848	130.40478	214255.06
